ligne_source,programme_code,annee,nature_economique,montant_milliers_fcfa
8,015,2022,T2_PERSONNEL,994504.309
8,015,2022,T3_BIENS_SERVICES,2325265.211
8,015,2022,T4_TRANSFERTS,128066.827
8,015,2023,T2_PERSONNEL,1148065.332
8,015,2023,T3_BIENS_SERVICES,2066311.544
8,015,2023,T4_TRANSFERTS,116481.398
8,015,2024,T2_PERSONNEL,1240625.518
8,015,2024,T3_BIENS_SERVICES,1926697.238
8,015,2024,T4_TRANSFERTS,329598.36
8,015,2025,T2_PERSONNEL,1339732.0
8,015,2025,T3_BIENS_SERVICES,2258327.0
8,015,2025,T4_TRANSFERTS,485787.0
8,015,2026,T2_PERSONNEL,1237728.0
8,015,2026,T3_BIENS_SERVICES,2170767.0
8,015,2026,T4_TRANSFERTS,551347.0
8,015,2027,T2_PERSONNEL,1279815.0
8,015,2027,T3_BIENS_SERVICES,2170767.0
8,015,2027,T4_TRANSFERTS,551347.0
8,015,2028,T2_PERSONNEL,1325780.0
8,015,2028,T3_BIENS_SERVICES,2170767.0
8,015,2028,T4_TRANSFERTS,551347.0
9,016,2022,T2_PERSONNEL,123446.094
9,016,2022,T3_BIENS_SERVICES,155695.946
9,016,2022,T4_TRANSFERTS,202937.0
9,016,2022,T5_INVESTISSEMENT_RESSOURCES_INTERIEURES,450000.0
9,016,2022,T5_INVESTISSEMENT_RESSOURCES_EXTERIEURES,283480.069
9,016,2023,T2_PERSONNEL,671820.349
9,016,2023,T3_BIENS_SERVICES,245009.089
9,016,2023,T4_TRANSFERTS,245470.0
9,016,2023,T5_INVESTISSEMENT_RESSOURCES_INTERIEURES,895454.5
9,016,2024,T2_PERSONNEL,502430.634
9,016,2024,T3_BIENS_SERVICES,430748.13
9,016,2024,T4_TRANSFERTS,345470.0
9,016,2024,T5_INVESTISSEMENT_RESSOURCES_INTERIEURES,2172727.0
9,016,2025,T2_PERSONNEL,615975.0
9,016,2025,T3_BIENS_SERVICES,556028.0
9,016,2025,T4_TRANSFERTS,445470.0
9,016,2025,T5_INVESTISSEMENT_RESSOURCES_INTERIEURES,2309091.0
9,016,2026,T2_PERSONNEL,572221.0
9,016,2026,T3_BIENS_SERVICES,578028.0
9,016,2026,T4_TRANSFERTS,445470.0
9,016,2026,T5_INVESTISSEMENT_RESSOURCES_INTERIEURES,3099520.0
9,016,2027,T2_PERSONNEL,592730.0
9,016,2027,T3_BIENS_SERVICES,578028.0
9,016,2027,T4_TRANSFERTS,445470.0
9,016,2027,T5_INVESTISSEMENT_RESSOURCES_INTERIEURES,2500000.0
9,016,2028,T2_PERSONNEL,615129.0
9,016,2028,T3_BIENS_SERVICES,578028.0
9,016,2028,T4_TRANSFERTS,445470.0
9,016,2028,T5_INVESTISSEMENT_RESSOURCES_INTERIEURES,3209091.0
11,018,2022,T2_PERSONNEL,2999419.339
