code,code_source,libelle,type,institution_libelle,institution_sigle,premiere_annee_credits,derniere_annee_credits,credits_2026_milliers_fcfa,ligne_source,anomalies
015,015,Pilotage et soutien aux services du MDC,PROGRAMME,MINISTERE DU DEVELOPPEMENT ET DE LA COORDINATION DE L'ACTION GOUVERNEMENTALE,MDC,2022,2028,3959842.0,8,
016,016,Orientation et évaluation des politiques de développement,PROGRAMME,MINISTERE DU DEVELOPPEMENT ET DE LA COORDINATION DE L'ACTION GOUVERNEMENTALE,MDC,2022,2028,4695239.0,9,
018,018,Pilotage et soutien aux services du MJL,PROGRAMME,MINISTERE DE LA JUSTICE ET DE LA LEGISLATION,MJL,2022,2028,5555163.828,11,
019,019,Cadre législatif normatif et institutionnel,PROGRAMME,MINISTERE DE LA JUSTICE ET DE LA LEGISLATION,MJL,2022,2028,1489249.258,12,
020,020,Services judiciaires,PROGRAMME,MINISTERE DE LA JUSTICE ET DE LA LEGISLATION,MJL,2022,2028,27616690.926,13,
095,095,Système pénitentiaire,PROGRAMME,MINISTERE DE LA JUSTICE ET DE LA LEGISLATION,MJL,2022,2028,8000000.0,14,
021,021,Droits Humains,PROGRAMME,MINISTERE DE LA JUSTICE ET DE LA LEGISLATION,MJL,2022,2028,572591.92,15,
022,022,Pilotage et soutiens aux services du MAE,PROGRAMME,MINISTERE DES AFFAIRES ETRANGERES,MAE,2022,2028,4795207.374,17,
023,023,Diplomatie et relations extérieures,PROGRAMME,MINISTERE DES AFFAIRES ETRANGERES,MAE,2022,2028,1805064.935,18,
103,103,Attractivité et rayonnement du Bénin à l'extérieur,PROGRAMME,MINISTERE DES AFFAIRES ETRANGERES,MAE,2022,2028,11659463.596,19,
026,026,Pilotage et soutien aux services du MEF,PROGRAMME,MINISTERE DE L'ECONOMIE ET DES FINANCES,MEF,2022,2028,7464125.0,21,
027,027,Gestion du cadre macroéconomique et du secteur financier,PROGRAMME,MINISTERE DE L'ECONOMIE ET DES FINANCES,MEF,2022,2028,25795272.102,22,
028,028,Mobilisation des ressources financières et gestion de la trésorerie de l'Etat,PROGRAMME,MINISTERE DE L'ECONOMIE ET DES FINANCES,MEF,2022,2028,19934938.0,23,
029,029,Gestion des dépenses publiques,PROGRAMME,MINISTERE DE L'ECONOMIE ET DES FINANCES,MEF,2022,2028,7512927.0,24,
030,030,Gestion des biens de l'Etat et du foncier,PROGRAMME,MINISTERE DE L'ECONOMIE ET DES FINANCES,MEF,2022,2024,0.0,25,
031,31,Assurance retraite des Agents de l'Etat,PROGRAMME,MINISTERE DE L'ECONOMIE ET DES FINANCES,MEF,2022,2028,90600000.0,26,CODE_NORMALISE
107,107,Prévention et gestion des catastrophes,PROGRAMME,MINISTERE DE L'ECONOMIE ET DES FINANCES,MEF,2022,2028,28000000.0,27,
108,108,Modernisation des regies financières,PROGRAMME,MINISTERE DE L'ECONOMIE ET DES FINANCES,MEF,2022,2028,6000000.0,28,
080,080,Pilotage et soutien aux services du MISP,PROGRAMME,MINISTERE DE L'INTERIEUR ET DE LA SECURITE PUBLIQUE,MISP,2022,2028,16936716.0,30,
081,081,Sécurité publique,PROGRAMME,MINISTERE DE L'INTERIEUR ET DE LA SECURITE PUBLIQUE,MISP,2022,2028,62421575.0,31,
082,082,Protection civile,PROGRAMME,MINISTERE DE L'INTERIEUR ET DE LA SECURITE PUBLIQUE,MISP,2022,2028,8903258.0,32,
084,084,Gestion intégrée des espaces frontaliers,PROGRAMME,MINISTERE DE L'INTERIEUR ET DE LA SECURITE PUBLIQUE,MISP,2022,2028,2020000.0,33,CODE_REUTILISE
083,083,Gestion des affaires interieures,PROGRAMME,MINISTERE DE L'INTERIEUR ET DE LA SECURITE PUBLIQUE,MISP,2022,2028,377331.0,34,
035,035,Pilotage et soutiens aux services du MAEP,PROGRAMME,"MINISTERE DE L'AGRICULTURE, DE L'ELEVAGE ET DE LA PECHE",MAEP,2022,2028,11013649.195,36,
036,036,Agriculture,PROGRAMME,"MINISTERE DE L'AGRICULTURE, DE L'ELEVAGE ET DE LA PECHE",MAEP,2022,2028,110403000.537,37,
037,037,Elevage,PROGRAMME,"MINISTERE DE L'AGRICULTURE, DE L'ELEVAGE ET DE LA PECHE",MAEP,2022,2028,18252421.261,38,
038,038,Pêche et aquaculture,PROGRAMME,"MINISTERE DE L'AGRICULTURE, DE L'ELEVAGE ET DE LA PECHE",MAEP,2022,2028,7788655.464,39,
039,039,Pilotage et soutien aux services du MDGL,PROGRAMME,MINISTERE DE LA DECENTRALISATION ET DE LA GOUVERNANCE LOCALE,MDGL,2022,2028,2683477.651,41,
040,040,Gouvernance et développement à la base,PROGRAMME,MINISTERE DE LA DECENTRALISATION ET DE LA GOUVERNANCE LOCALE,MDGL,2022,2028,49317690.267,42,
041,041,Appui à la déconcentration,PROGRAMME,MINISTERE DE LA DECENTRALISATION ET DE LA GOUVERNANCE LOCALE,MDGL,2022,2028,3293037.308,43,
042,042,Pilotage et soutien aux services du MTFP,PROGRAMME,MINISTERE DU TRAVAIL ET DE LA FONCTION PUBLIQUE,MTFP,2022,2028,5433546.439,45,
043,043,Travail et Sécurité Sociale,PROGRAMME,MINISTERE DU TRAVAIL ET DE LA FONCTION PUBLIQUE,MTFP,2022,2028,747495.495,46,
044,044,Modernisation de l'administration publique,PROGRAMME,MINISTERE DU TRAVAIL ET DE LA FONCTION PUBLIQUE,MTFP,2022,2028,1779754.024,47,
046,046,Prévention et Sécurité sanitaire,PROGRAMME,MINISTERE DE LA SANTE,MS,2022,2028,21718359.64,49,
047,047,Offre et accès aux soins de santé,PROGRAMME,MINISTERE DE LA SANTE,MS,2022,2028,103346962.726,50,
045,045,Pilotage et Soutien aux services du MS,PROGRAMME,MINISTERE DE LA SANTE,MS,2022,2028,72989185.854,51,
054,054,Pilotage et soutien aux services du MESRS,PROGRAMME,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCIENTIFIQUE,MESRS,2022,2028,5902520.012,53,
055,055,Enseignement supérieur,PROGRAMME,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCIENTIFIQUE,MESRS,2022,2028,64146900.548,54,
056,056,Recherche scientifique et innovation technologique,PROGRAMME,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCIENTIFIQUE,MESRS,2022,2028,1179348.697,55,
057,057,Vie de l'étudiant,PROGRAMME,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCIENTIFIQUE,MESRS,2022,2028,17233137.661,56,
058,058,Pilotage et soutien aux services du MESTFP,PROGRAMME,"MINISTERE DES ENSEIGNEMENTS SECONDAIRE, TECHNIQUE, ET DE LA FORMATION PROFESSIONNELLE",MESTFP,2022,2028,89382107.348,58,
059,059,Enseignement secondaire général,PROGRAMME,"MINISTERE DES ENSEIGNEMENTS SECONDAIRE, TECHNIQUE, ET DE LA FORMATION PROFESSIONNELLE",MESTFP,2022,2028,32442512.737,59,
060,060,Enseignement technique et formation professionnelle,PROGRAMME,"MINISTERE DES ENSEIGNEMENTS SECONDAIRE, TECHNIQUE, ET DE LA FORMATION PROFESSIONNELLE",MESTFP,2022,2028,188575062.407,60,
061,061,Alphabétisation et promotion des langues nationales,PROGRAMME,"MINISTERE DES ENSEIGNEMENTS SECONDAIRE, TECHNIQUE, ET DE LA FORMATION PROFESSIONNELLE",MESTFP,2022,2027,652572.021,61,
062,062,Pilotage et soutiens aux services du MEMP,PROGRAMME,MINISTERE DES ENSEIGNEMENTS MATERNEL ET PRIMAIRE,MEMP,2022,2028,153158507.0,63,
