id,theme,titre,date_publication,url,module_bie,usage
lolf,Cadre juridique,Loi organique n°2013-14 du 27 septembre 2013 relative aux lois de finances (LOLF promulguée),2020-04-27,https://budgetbenin.bj/wp-content/uploads/2020/04/LOLF-PROMULGUEE.pdf,Tous,"Fondement du budget-programme, AE/CP, responsabilités (PDF scanné : OCR nécessaire)"
manuel_preparation,Procédures,Manuel de procédures de préparation du budget de l'État en mode programme (DGB),2019-01,https://budgetbenin.bj/storage/2018/12/Manuel-de-procedures-de-pr%C3%A9paration-du-budget-de-lEtat.pdf,Planning / Budget,"Étapes formulation → programmation → budgétisation ; acteurs RFFiM, R-Prog, RA, RAc, DCF ; modèle des workflows"
manuel_execution,Procédures,Manuel de procédure d'exécution de la dépense publique en mode programme,2022-08-30,https://budgetbenin.bj/wp-content/uploads/2022/08/MANUEL-DE-PROCEDURE-DEXECUION-DE-LA-DEPENSE-PUBLIQUE-EN-MODE-PROGRAMME.pdf,Monitoring / PCC,"Chaîne engagement → liquidation → ordonnancement → paiement ; interfaces avec SIGFP"
manuel_investissements,Investissements,Manuel de gestion des investissements publics du Bénin,2023-03-03,https://budgetbenin.bj/wp-content/uploads/2023/03/Manuel-gestion-investissements-Benin.pdf,Public Investment,"Cycle de projet, maturité, banque de projets, PIP (Partie 5 §40-49)"
decret_investissements,Investissements,Décret n°2024-854 du 27 mars 2024 fixant le cadre général de gestion des investissements publics,2024-05-07,https://budgetbenin.bj/wp-content/uploads/2024/05/DECRET-N-2024-854-DU-27-MARS-2024-fixant-le-cadre-general-de-gestion-des-investissements-publics.pdf,Public Investment,"Règles de maturité et d'éligibilité au PIP (PDF scanné)"
arrete_documents_budgetaires,Cadre juridique,Arrêté 2024 portant documents budgétaires,2024-02-07,https://budgetbenin.bj/wp-content/uploads/2024/02/ARRETE-2024-Documents-budgetaires.pdf,Reporting,"Liste officielle des documents à produire"
calendrier_2027_2029,Calendrier,Arrêté portant planning des tâches d'élaboration de la LF 2027 et du budget triennal 2027-2029,2026-02-09,https://budgetbenin.bj/wp-content/uploads/2026/02/Calendrier-budgetaire-2027-2029.pdf,Planning (BudgetCalendar),"Étapes, dates, structures responsables et associées : alimente le référentiel BudgetCalendar"
lettre_cadrage_2027_2029,Cadrage,Lettre de cadrage aux Ministres pour l'élaboration du budget pluriannuel 2027-2029,2026-07-14,https://budgetbenin.bj/wp-content/uploads/2026/07/Lettre-de-cadrage-aux-Ministres-pour-l-elaboration-du-budget-pluriannuel-2027-2029.pdf,Budget (enveloppes),"Plafonds et orientations 2027-2029 (PDF scanné)"
classif_croisees_lf2026,Nomenclatures,Tableaux de classifications croisées des dépenses de l'État 2022-2028 (budget LF 2026),2026-02,https://budgetbenin.bj/wp-content/uploads/2026/02/Tableaux-de-Classifications-croisees-des-depenses-de-l-Etat-sur-la-periode-pluriannuelle-2022-2028-budget-LF-2026.xlsx,Référentiel / Budget,"CHARGÉ : 107 programmes et dotations, crédits 2022-2028, enveloppes 2026"
classif_prog_eco_2026,Nomenclatures,Tableau matriciel croisé des classifications programmatique et économique 2026,2025-12-31,https://budgetbenin.bj/wp-content/uploads/2025/12/TABLEAU-MATRICIEL-CROISE-DE-CLASSIFICATIONS-PROGRAMMATIQUE-ET-ECONOMIQUE-2026.pdf,Référentiel,"Contrôle de cohérence des classifications"
classif_fonc_eco_2026,Nomenclatures,Tableau matriciel croisé des classifications fonctionnelle et économique 2026,2025-12-31,https://budgetbenin.bj/wp-content/uploads/2025/12/TABLEAU-MATRICIEL-CROISE-DE-CLASSIFICATIONS-FONCTIONNELLE-ET-ECONOMIQUE-2026.pdf,Référentiel,"Classification fonctionnelle (COFOG) des dépenses"
classif_geo_2023,Nomenclatures,Classification géographique des dépenses 2023 (budgétisation par département),2022-11-25,https://budgetbenin.bj/wp-content/uploads/2022/11/Classification-geographique-des-depenses-2023-budgetisation-Par-Departement.pdf,Territorial,"Référentiel géographique des dépenses"
nomenclature_ppsx,Nomenclatures,Nomenclature budgétaire et comptable (présentation),2018-02-18,https://budgetbenin.bj/wp-content/uploads/2018/02/NOMENCLATURE-BUDGETAIRE-ET-COMPTABLE_NOUV-1.ppsx,Référentiel,"Structure des codes budgétaires et comptables"
circulaire_referentiel_2025,Nomenclatures,Circulaire MEF-MDGL report d'application du référentiel budgétaire et comptable,2025-03-20,https://budgetbenin.bj/wp-content/uploads/2025/03/Circulaire-MEF-MDGL-report-appication-referentiel-budget-et-compta.pdf,Référentiel,"Calendrier de bascule des référentiels (collectivités)"
